config_fingerprint,suite,task,display_name,category,category_display_name,seed,task_seed,optimizer_seed,method_seed,dataset_seed,split_seed,optimizer,method_id,method_display_name,implementation_kind,original_framework,implementation_framework,source_url,source_commit,paper_url,train_size,train_min_percentile,train_max_percentile,reference_min_utility,reference_max_utility,d_best_utility,refnorm_d_best_score,recommendation_count,query_count,cumulative_simulated_cost,training_summary_json,resolved_method_config_json,diagnostics_json,raw_max_utility,raw_median_utility,raw_mean_utility,refnorm_max_score,refnorm_median_score,refnorm_mean_score,regret,best_objective
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,38,,38,38,,0,best_logged,best_logged,Best Logged,native_baseline,PyTorch,pytorch,,,,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""resolved_method_config"": {}, ""visible_logged_samples"": 182}",{},{},-0.8339020373736177,-0.9039487624527238,-0.9086270067549592,0.995158626899416,0.97023304405922,0.9685683271753064,0.0136053922091279,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,38,,38,38,,0,coms,coms,COM,lightweight_adaptation,TensorFlow,pytorch,https://github.com/rail-berkeley/design-baselines,,https://proceedings.mlr.press/v139/trabucco21a.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""epochs"": 100, ""final_alpha"": 0.020848741754889488, ""final_overestimation"": 0.39318081736564636, ""final_train_mse"": 0.018987176939845085, ""resolved_method_config"": {""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""train_samples"": 146, ""validation_mse"": 1.7222371101379395, ""validation_samples"": 36}","{""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}","{""final_alpha"": 0.020848741754889488, ""validation_mse"": 1.7222371101379395}",-0.8561468763174442,-0.9182534384669828,-0.9178381032768574,0.9872429738087828,0.9651428362501768,0.9652906300503326,0.0358502311529544,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,38,,38,38,,0,bdi,bdi,BDI,lightweight_adaptation,JAX,pytorch,https://github.com/GGchen1997/BDI,,https://proceedings.neurips.cc/paper_files/paper/2022/hash/bd391cf5bdc4b63674d6da3edc1bde0d-Abstract.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""lengthscale"": 4.742185592651367, ""resolved_method_config"": {""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""support_points"": 146, ""support_train_mse"": 0.048464737832546234, ""train_samples"": 146, ""validation_samples"": 36}","{""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}",{},-0.8123404947616428,-0.9351383674158088,-0.920393246602303,1.00283113429973,0.9591344654835277,0.9643814021520256,-0.0079561504028469,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,39,,39,39,,0,best_logged,best_logged,Best Logged,native_baseline,PyTorch,pytorch,,,,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""resolved_method_config"": {}, ""visible_logged_samples"": 182}",{},{},-0.8339020373736177,-0.9039487624527238,-0.9086270067549592,0.995158626899416,0.97023304405922,0.9685683271753064,0.0136053922091279,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,39,,39,39,,0,coms,coms,COM,lightweight_adaptation,TensorFlow,pytorch,https://github.com/rail-berkeley/design-baselines,,https://proceedings.mlr.press/v139/trabucco21a.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""epochs"": 100, ""final_alpha"": 0.021293634548783302, ""final_overestimation"": 0.5109782814979553, ""final_train_mse"": 1.2132610082626343, ""resolved_method_config"": {""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""train_samples"": 146, ""validation_mse"": 1.7304142713546753, ""validation_samples"": 36}","{""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}","{""final_alpha"": 0.021293634548783302, ""validation_mse"": 1.7304142713546753}",-0.8296683414671912,-0.920931753028347,-0.9196828179124384,0.9966651546909246,0.964189778824637,0.9646342026811192,0.0093716963027014,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,39,,39,39,,0,bdi,bdi,BDI,lightweight_adaptation,JAX,pytorch,https://github.com/GGchen1997/BDI,,https://proceedings.neurips.cc/paper_files/paper/2022/hash/bd391cf5bdc4b63674d6da3edc1bde0d-Abstract.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""lengthscale"": 4.742185592651367, ""resolved_method_config"": {""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""support_points"": 146, ""support_train_mse"": 0.048464737832546234, ""train_samples"": 146, ""validation_samples"": 36}","{""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}",{},-0.8123404947616428,-0.9351383674158088,-0.920393246602303,1.00283113429973,0.9591344654835277,0.9643814021520256,-0.0079561504028469,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,40,,40,40,,0,best_logged,best_logged,Best Logged,native_baseline,PyTorch,pytorch,,,,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""resolved_method_config"": {}, ""visible_logged_samples"": 182}",{},{},-0.8339020373736177,-0.9039487624527238,-0.9086270067549592,0.995158626899416,0.97023304405922,0.9685683271753064,0.0136053922091279,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,40,,40,40,,0,coms,coms,COM,lightweight_adaptation,TensorFlow,pytorch,https://github.com/rail-berkeley/design-baselines,,https://proceedings.mlr.press/v139/trabucco21a.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""epochs"": 100, ""final_alpha"": 0.02053612284362316, ""final_overestimation"": 0.302267462015152, ""final_train_mse"": 0.07014915347099304, ""resolved_method_config"": {""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""train_samples"": 146, ""validation_mse"": 1.8160539865493774, ""validation_samples"": 36}","{""adversarial_steps"": 20, ""alpha"": 0.1, ""alpha_learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 100, ""hidden_size"": 128, ""learning_rate"": 0.001, ""overestimation_limit"": 0.5, ""particle_learning_rate"": 0.05, ""particle_steps"": 100, ""validation_fraction"": 0.2}","{""final_alpha"": 0.02053612284362316, ""validation_mse"": 1.8160539865493774}",-0.8953254490078499,-0.9207412582934064,-0.920345935512787,0.9733015831434446,0.9642575648958772,0.9643982374356116,0.0750288038433601,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,40,,40,40,,0,bdi,bdi,BDI,lightweight_adaptation,JAX,pytorch,https://github.com/GGchen1997/BDI,,https://proceedings.neurips.cc/paper_files/paper/2022/hash/bd391cf5bdc4b63674d6da3edc1bde0d-Abstract.html,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""lengthscale"": 4.742185592651367, ""resolved_method_config"": {""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}, ""split_seed"": 0, ""support_points"": 146, ""support_train_mse"": 0.048464737832546234, ""train_samples"": 146, ""validation_samples"": 36}","{""distillation_weight"": 1.0, ""forward_weight"": 1.0, ""gamma"": 0.0, ""label"": 2.0, ""learning_rate"": 0.05, ""lengthscale"": null, ""max_support_points"": 512, ""ridge"": 0.001, ""steps"": 100, ""validation_fraction"": 0.2}",{},-0.8123404947616428,-0.9351383674158088,-0.920393246602303,1.00283113429973,0.9591344654835277,0.9643814021520256,-0.0079561504028469,
37c4cda71c6478d0,data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,41,,41,41,,0,best_logged,best_logged,Best Logged,native_baseline,PyTorch,pytorch,,,,182,0.0,40.0,-3.630530834197998,-0.8202966451644897,-1.154164433479309,0.881195741757863,128,0,0.0,"{""resolved_method_config"": {}, ""visible_logged_samples"": 182}",{},{},-0.8339020373736177,-0.9039487624527238,-0.9086270067549592,0.995158626899416,0.97023304405922,0.9685683271753064,0.0136053922091279,
